"sample_id","population","sex","batch","exposure","fitness"
"S134","P2","M","B2",6.172,8.604
"S135","P2","F","B2",6.393,5.597
"S136","P2","F","B1",4.338,8.534
"S137","P2","F","B1",4.223,10.126
"S138","P1","F","B2",1.75,6.897
"S139","P2","F","B2",4.087,10.858
"S140","P2","M","B1",4.551,8.445
"S141","P1","M","B2",3.358,6.366
"S142","P1","M","B3",2.335,5.997
"S143","P1","M","B2",3.429,4.458
"S144","P2","M","B1",5.664,7.993
"S145","P2","F","B2",3.397,10.652
"S146","P2","M","B3",3.645,9.127
"S147","P1","F","B2",2.321,5.915
"S148","P2","F","B1",5.831,6.923
"S149","P1","F","B1",1.721,8.295
"S150","P1","F","B1",2.546,7.177
"S151","P2","M","B3",5.845,7.123
"S152","P1","M","B1",1.749,7.808
"S153","P2","F","B2",3.894,9.85
"S154","P1","F","B1",1.597,6.29
"S155","P2","F","B1",6.303,8.118
"S156","P2","M","B1",3.5,10.177
"S157","P1","M","B3",3.618,6.262
"S158","P1","M","B1",2.714,6.091
"S159","P1","F","B3",4.966,5.222
"S160","P2","M","B3",5.694,7.796
"S161","P2","M","B3",4.401,9.819
"S162","P2","M","B1",6.257,8.113
"S163","P2","M","B1",5.054,9.226
"S164","P1","F","B1",0.917,8.285
"S165","P1","M","B1",0.994,7.993
"S166","P1","F","B1",1.965,6.945
"S167","P1","F","B2",3.309,7.056
"S168","P1","F","B1",2.75,7.158
"S169","P1","M","B2",-0.138,8.528
"S170","P1","F","B3",1.3,9.097
"S171","P2","M","B2",5.718,8.427
"S172","P1","M","B1",0.542,7.818
"S173","P1","F","B3",2.695,6.475
"S174","P1","M","B1",-0.461,9.304
"S175","P1","M","B1",2.143,6.958
"S176","P1","F","B2",1.609,6.418
"S177","P2","M","B1",3.748,9.432
"S178","P2","F","B1",5.595,9.768
"S179","P2","M","B2",3.767,11.194
"S180","P2","M","B2",5.244,7.872
"S181","P2","F","B1",5.003,8.097
"S182","P2","F","B3",3.672,12.052
"S183","P1","F","B2",0.561,10.348
"S184","P1","M","B2",0.53,7.693
"S185","P2","M","B1",6.2,6.498
"S186","P2","F","B2",4.525,12.099
"S187","P2","F","B3",4.425,9.805
"S188","P2","M","B3",4.969,9.218
"S189","P1","M","B2",1.464,7.612
"S190","P1","F","B2",2.562,7.842
"S191","P1","M","B1",1.822,6.987
"S192","P2","M","B3",3.787,11.672
"S193","P1","M","B2",1.928,6.851
"S194","P1","F","B3",3.211,6.294
"S195","P1","M","B3",1.385,6.581
"S196","P1","F","B2",2.676,6.494
"S197","P1","M","B2",2.899,7.302
"S198","P1","F","B1",0.811,8.026
"S199","P2","M","B1",4.709,10.573
"S200","P2","M","B2",5.167,11.56
