sample_id;group;PesticideDose;ReproductionCount
S173;HiveEast;2.135;11.409
S174;HiveWest;6.236;10.558
S175;HiveEast;2.121;12.035
S176;HiveWest;3.96;14.643
S177;HiveEast;2.892;11.178
S178;HiveWest;5.992;11.835
S179;HiveEast;1.219;12.476
S180;HiveEast;3.979;7.565
S181;HiveEast;2.986;11.584
S182;HiveWest;6.135;13.448
S183;HiveEast;3.669;10.741
S184;HiveEast;0.228;13.542
S185;HiveEast;4.104;9.372
S186;HiveEast;2.146;12.277
S187;HiveWest;5.82;12.936
S188;HiveEast;1.23;13.501
S189;HiveWest;6.579;10.877
S190;HiveWest;6.918;11.738
S191;HiveEast;2.644;10.655
S192;HiveWest;7.013;12.157
S193;HiveWest;7.563;12.228
S194;HiveEast;3.529;12.335
S195;HiveEast;0.399;13.92
S196;HiveWest;5.42;11.536
S197;HiveWest;6.829;10.977
S198;HiveWest;5.277;13.23
S199;HiveWest;5.746;11.709
S200;HiveWest;5.411;13.811
