sample_id	group	Oxygen	ATP
S152	Soleus	7.665	9.59
S153	Gastrocnemius	1.546	11.649
S154	Gastrocnemius	1.613	9.552
S155	Gastrocnemius	1.843	10.013
S156	Gastrocnemius	4.333	8.168
S157	Gastrocnemius	3.127	10.484
S158	Gastrocnemius	2.931	11.773
S159	Soleus	7.978	9.31
S160	Soleus	4.937	10.625
S161	Soleus	6.278	10.255
S162	Gastrocnemius	1.363	8.847
S163	Soleus	6.227	10.453
S164	Soleus	6.295	10.16
S165	Gastrocnemius	1.744	9.6
S166	Gastrocnemius	3.793	7.49
S167	Gastrocnemius	3.028	10.421
S168	Soleus	6.111	11.897
S169	Soleus	7.05	10.25
S170	Gastrocnemius	2.976	7.556
S171	Gastrocnemius	3.121	8.681
S172	Soleus	6.32	10.92
S173	Gastrocnemius	3.25	10.376
S174	Soleus	5.781	10.23
S175	Gastrocnemius	1.7	11.125
S176	Gastrocnemius	2.937	9.062
S177	Gastrocnemius	2.905	8.986
S178	Gastrocnemius	3.844	7.421
S179	Soleus	7.452	8.781
S180	Gastrocnemius	2.979	9.187
S181	Soleus	7.851	7.026
S182	Gastrocnemius	3.104	7.719
S183	Soleus	7.887	9.55
S184	Soleus	5.879	11.943
S185	Gastrocnemius	3.366	8.689
S186	Soleus	6.927	9.728
S187	Gastrocnemius	3.984	7.589
S188	Soleus	6.828	10.652
S189	Gastrocnemius	2.212	10.321
S190	Gastrocnemius	5.326	5.596
S191	Soleus	5.768	9.604
S192	Soleus	6.26	11.284
S193	Gastrocnemius	1.586	10.244
S194	Soleus	5.953	10.412
S195	Soleus	6.31	10.103
S196	Gastrocnemius	4.181	7.077
S197	Soleus	7.99	8.829
S198	Gastrocnemius	3.132	8.355
S199	Gastrocnemius	3.072	8.312
S200	Gastrocnemius	3.079	9.739
