sample_id;group;Temperature;EnzymeActivity
S064;Bacillus subtilis 168;7.299;14.23
S065;Escherichia coli K-12;3.689;11.884
S066;Escherichia coli K-12;4.01;12.459
S067;Bacillus subtilis 168;6.108;13.246
S068;Escherichia coli K-12;2.687;12.628
S069;Escherichia coli K-12;4.601;9.984
S070;Bacillus subtilis 168;4.477;17.081
S071;Escherichia coli K-12;1.28;13.347
S072;Bacillus subtilis 168;7.456;12.454
S073;Escherichia coli K-12;4.036;10.054
S074;Escherichia coli K-12;4.941;10.599
S075;Bacillus subtilis 168;6.223;13.925
S076;Bacillus subtilis 168;5.848;13.607
S077;Escherichia coli K-12;4.398;9.26
S078;Bacillus subtilis 168;4.192;14.668
S079;Bacillus subtilis 168;6.805;13.105
S080;Escherichia coli K-12;3.418;11.837
S081;Bacillus subtilis 168;4.611;15.266
S082;Bacillus subtilis 168;6.33;13.818
S083;Escherichia coli K-12;4.956;8.725
S084;Escherichia coli K-12;2.865;10.632
S085;Escherichia coli K-12;4.012;10.793
S086;Escherichia coli K-12;2.269;11.836
S087;Escherichia coli K-12;2.78;12.149
S088;Bacillus subtilis 168;6.549;13.956
S089;Bacillus subtilis 168;5.322;16.44
S090;Escherichia coli K-12;3.374;8.581
S091;Bacillus subtilis 168;7.572;12.4
S092;Escherichia coli K-12;3.761;12.046
S093;Escherichia coli K-12;4.666;10.552
S094;Escherichia coli K-12;4.823;9.727
S095;Bacillus subtilis 168;5.875;13.136
S096;Escherichia coli K-12;3.296;11.435
S097;Escherichia coli K-12;3.68;11.438
S098;Escherichia coli K-12;4.225;9.254
S099;Escherichia coli K-12;4.634;10.559
S100;Escherichia coli K-12;2.333;12.803
S101;Bacillus subtilis 168;5.831;13.255
S102;Escherichia coli K-12;1.697;11.682
S103;Escherichia coli K-12;3.196;12.324
S104;Bacillus subtilis 168;6.551;11.609
S105;Bacillus subtilis 168;5.843;13.265
S106;Bacillus subtilis 168;4.529;15.122
S107;Bacillus subtilis 168;6.421;13.67
S108;Bacillus subtilis 168;6.542;12.138
S109;Escherichia coli K-12;5.282;9.682
S110;Bacillus subtilis 168;5.829;14.599
S111;Escherichia coli K-12;5.08;8.392
S112;Escherichia coli K-12;3.567;10.551
S113;Escherichia coli K-12;4.322;8.502
S114;Bacillus subtilis 168;6.055;13.822
S115;Bacillus subtilis 168;8.109;12.025
S116;Escherichia coli K-12;4.855;9.401
S117;Bacillus subtilis 168;5.55;14.931
S118;Bacillus subtilis 168;6.411;13.31
S119;Bacillus subtilis 168;5.089;14.423
S120;Escherichia coli K-12;3.672;9.603
S121;Escherichia coli K-12;2.417;10.653
S122;Escherichia coli K-12;3.953;10.593
S123;Bacillus subtilis 168;6.312;13.961
S124;Escherichia coli K-12;4.058;10.824
S125;Bacillus subtilis 168;6.537;11.574
S126;Escherichia coli K-12;4.285;9.884
S127;Escherichia coli K-12;5.574;9.074
S128;Escherichia coli K-12;2.267;12.481
S129;Bacillus subtilis 168;7.145;11.326
S130;Bacillus subtilis 168;5.597;14.49
S131;Escherichia coli K-12;3.164;14.103
S132;Escherichia coli K-12;4.114;10.819
S133;Bacillus subtilis 168;5.18;13.886
S134;Bacillus subtilis 168;6.726;11.679
S135;Escherichia coli K-12;2.409;11.807
S136;Bacillus subtilis 168;5.487;13.491
S137;Bacillus subtilis 168;7.102;12.785
S138;Bacillus subtilis 168;6.026;15.165
S139;Escherichia coli K-12;3.597;12.021
S140;Escherichia coli K-12;2.44;12.801
S141;Escherichia coli K-12;2.909;12.089
S142;Escherichia coli K-12;3.698;12.504
S143;Escherichia coli K-12;3.493;10.466
S144;Bacillus subtilis 168;5.148;13.948
S145;Bacillus subtilis 168;6.515;13.554
S146;Escherichia coli K-12;5.718;9.022
S147;Escherichia coli K-12;2.536;12.134
S148;Escherichia coli K-12;3.399;9.794
S149;Escherichia coli K-12;4.732;11.235
S150;Escherichia coli K-12;2.306;12.422
S151;Bacillus subtilis 168;6.016;13.22
S152;Escherichia coli K-12;3.663;10.532
S153;Bacillus subtilis 168;6.21;12.688
S154;Escherichia coli K-12;2.935;10.49
S155;Escherichia coli K-12;3.749;10.261
S156;Bacillus subtilis 168;5.347;15.156
S157;Escherichia coli K-12;2.516;9.937
S158;Escherichia coli K-12;2.845;10.344
S159;Escherichia coli K-12;5.362;7.573
S160;Bacillus subtilis 168;6.702;11.63
S161;Escherichia coli K-12;4.646;10.162
S162;Bacillus subtilis 168;6.758;12.91
S163;Bacillus subtilis 168;8.533;11.863
S164;Escherichia coli K-12;3.978;10.271
S165;Escherichia coli K-12;3.679;10.851
S166;Escherichia coli K-12;3.779;13.358
S167;Bacillus subtilis 168;5.479;14.764
S168;Bacillus subtilis 168;8.451;11.454
S169;Bacillus subtilis 168;5.631;14.315
S170;Escherichia coli K-12;4.29;10.673
S171;Bacillus subtilis 168;5.794;13.394
S172;Bacillus subtilis 168;7.305;13.434
S173;Bacillus subtilis 168;6.95;12.17
S174;Escherichia coli K-12;2.753;9.814
S175;Bacillus subtilis 168;5.322;14.759
S176;Escherichia coli K-12;3.068;9.641
S177;Escherichia coli K-12;2.907;12.44
S178;Escherichia coli K-12;3.271;11.461
S179;Bacillus subtilis 168;6.588;13.872
S180;Bacillus subtilis 168;6.916;11.969
S181;Bacillus subtilis 168;5.467;13.905
S182;Escherichia coli K-12;3.399;9.453
S183;Bacillus subtilis 168;6.711;12.204
S184;Escherichia coli K-12;3.4;12.752
S185;Escherichia coli K-12;4.874;8.258
S186;Escherichia coli K-12;4.298;10.538
S187;Bacillus subtilis 168;6.807;13.41
S188;Bacillus subtilis 168;6.178;13.785
S189;Bacillus subtilis 168;4.765;15.192
S190;Escherichia coli K-12;1.331;13.806
S191;Escherichia coli K-12;2.619;11.324
S192;Bacillus subtilis 168;5.903;14.567
S193;Escherichia coli K-12;2.958;10.914
S194;Escherichia coli K-12;2.97;10.351
S195;Escherichia coli K-12;2.12;11.758
S196;Escherichia coli K-12;3.421;10.362
S197;Escherichia coli K-12;3.654;10.261
S198;Bacillus subtilis 168;5.243;15.304
S199;Escherichia coli K-12;3.164;12.222
S200;Bacillus subtilis 168;5.499;14.508
