sample_id	group	AirPollution	HeartRate
S081	Sparrow	2.686	9.046
S082	Sparrow	3.35	7.398
S083	Sparrow	2.624	9.209
S084	Sparrow	4.687	5.802
S085	Finch	4.664	12.57
S086	Sparrow	2.666	9.271
S087	Sparrow	3.248	9.924
S088	Sparrow	3.937	6.889
S089	Finch	6.219	11.274
S090	Finch	7.657	11.04
S091	Finch	8.015	10.825
S092	Finch	5.629	13.48
S093	Finch	7.568	10.145
S094	Sparrow	4.14	7.003
S095	Sparrow	3.718	7.365
S096	Sparrow	3.299	7.949
S097	Finch	7.889	9.833
S098	Sparrow	2.15	10.235
S099	Sparrow	3.041	7.623
S100	Finch	5.965	13.107
S101	Finch	6.856	11.743
S102	Sparrow	3.761	7.736
S103	Finch	7.318	12.229
S104	Finch	8.153	10.939
S105	Sparrow	2.729	9.961
S106	Sparrow	1.93	7.283
S107	Finch	5.84	12.907
S108	Finch	7.35	10.662
S109	Sparrow	2.97	8.196
S110	Finch	6.376	11.499
S111	Sparrow	2.69	8.227
S112	Sparrow	1.25	9.749
S113	Finch	7.822	9.778
S114	Sparrow	2.875	7.255
S115	Finch	7.086	12.085
S116	Sparrow	2.158	9.398
S117	Sparrow	3.438	6.505
S118	Sparrow	3.066	8.547
S119	Sparrow	3.222	7.755
S120	Sparrow	2.886	8.483
S121	Sparrow	2.43	10.413
S122	Finch	7.212	11.095
S123	Finch	7.269	11.897
S124	Finch	8.387	9.362
S125	Sparrow	3.458	7.276
S126	Sparrow	3.842	7.606
S127	Finch	7.749	11.24
S128	Finch	8.061	11.05
S129	Sparrow	3.196	7.862
S130	Finch	9.327	9.084
S131	Sparrow	1.771	9.674
S132	Finch	7.307	10.304
S133	Finch	7.37	11.464
S134	Sparrow	4.485	6.912
S135	Finch	7.303	11.883
S136	Sparrow	0.949	11.016
S137	Sparrow	2.992	8.639
S138	Sparrow	2.97	7.585
S139	Finch	7.431	11.237
S140	Finch	8.131	9.317
S141	Sparrow	2.657	8.469
S142	Finch	6.974	11.603
S143	Finch	6.577	12.681
S144	Sparrow	5.67	6.039
S145	Finch	9.438	9.089
S146	Sparrow	2.946	8.932
S147	Sparrow	3.561	7.726
S148	Finch	8.137	12.374
S149	Sparrow	5.505	4.001
S150	Sparrow	2.35	9.015
S151	Sparrow	1.182	7.306
S152	Sparrow	3.462	8.304
S153	Sparrow	1.95	10.519
S154	Sparrow	4.748	5.378
S155	Sparrow	3.641	7.53
S156	Sparrow	2.564	9.124
S157	Sparrow	3.743	6.755
S158	Sparrow	3.875	6.539
S159	Sparrow	2.489	8.944
S160	Sparrow	2.47	8.012
S161	Sparrow	2.107	7.632
S162	Sparrow	1.063	10.696
S163	Finch	6.916	11.072
S164	Sparrow	3.885	7.686
S165	Sparrow	3.013	7.93
S166	Finch	8.767	9.059
S167	Sparrow	2.907	8.087
S168	Sparrow	4.577	6.365
S169	Finch	6.357	13.871
S170	Sparrow	2.975	8.325
S171	Sparrow	2.185	9.427
S172	Sparrow	2.978	6.786
S173	Finch	6.272	13.934
S174	Sparrow	2.543	9.769
S175	Finch	6.549	13.269
S176	Finch	7.651	11.282
S177	Finch	7.482	10.908
S178	Sparrow	5.052	6.642
S179	Finch	5.281	13.838
S180	Finch	7.115	10.896
S181	Sparrow	3.154	8.586
S182	Finch	7.26	11.544
S183	Sparrow	2.094	8.404
S184	Finch	8.501	10.618
S185	Finch	8.141	10.114
S186	Sparrow	3.18	6.54
S187	Sparrow	3.2	8.328
S188	Finch	7.338	11.915
S189	Sparrow	3.629	8.728
S190	Sparrow	2.175	9.569
S191	Sparrow	3.431	6.608
S192	Sparrow	4.212	7.733
S193	Sparrow	1.431	9.991
S194	Finch	6.862	10.537
S195	Sparrow	3.997	6.056
S196	Finch	7.343	11.051
S197	Finch	6.39	11.668
S198	Sparrow	1.677	10.132
S199	Sparrow	4.484	7.364
S200	Sparrow	4.121	6.247
